1,Bitcoin,BTC,None,35350.19,18766575 BTC,20856685287.16,2.12,3.08,11.18
2,Ethereum,ETH,None,2191.37,116840869 ETH,14566483636.23,1.35,0.10,15.61
3,Tether,USDT,None,1.00,61810332357 USDT *,45864253743.97,0.03,-0.05,-0.05
4,Binance Coin,BNB,None,302.44,168137036 BNB *,1351522796.97,1.01,0.12,-0.01
5,Cardano,ADA,None,1.23,32041069499 ADA,1036357455.27,1.03,-0.40,3.79
6,XRP,XRP,None,0.6064,46265302471 XRP *,1707767304.81,0.71,-0.57,3.14
7,USD Coin,USDC,None,0.9996,27055677535 USDC *,1597724491.94,0.02,-0.06,-0.10
8,Dogecoin,DOGE,None,0.1979,130586131924 DOGE,1256116970.61,1.25,0.28,8.58
9,Polkadot,DOT,None,13.71,978287216 DOT *,777347323.72,1.49,-0.67,8.13
10,Binance USD,BUSD,None,0.9996,11789037210 BUSD *,3993626075.44,0.02,-0.06,-0.09
11,Uniswap,UNI,None,18.27,587351876 UNI *,318191966.23,2.27,-0.05,11.67
12,Bitcoin Cash,BCH,None,456.02,18799219 BCH,1073715841.96,1.75,-0.90,3.72
13,Litecoin,LTC,None,127.60,66752415 LTC,1152966295.44,1.92,1.12,6.77
14,Solana,SOL,None,28.17,272637428 SOL *,309208018.29,1.56,-1.86,5.30
15,Chainlink,LINK,None,16.76,441509554 LINK *,662123046.39,1.97,0.32,8.11
16,Wrapped Bitcoin,WBTC,None,35268.89,194675 WBTC *,148926863.02,2.13,2.96,11.04
17,Ethereum Classic,ETC,None,48.46,128756891 ETC,2049032674.93,1.44,-2.06,15.42
18,Stellar,XLM,None,0.2617,23344746515 XLM *,348760885.92,1.06,-2.22,13.44
19,THETA,THETA,None,6.13,1000000000 THETA *,867626092.32,1.52,9.28,37.94
20,Polygon,MATIC,None,0.9399,6394735794 MATIC *,600985078.87,3.06,-0.99,18.16
21,Internet Computer,ICP,None,42.59,136899214 ICP *,554279833.01,1.64,-2.02,31.52
22,Dai,DAI,None,1.00,5541121725 DAI *,262761749.49,0.04,-0.01,0.02
23,VeChain,VET,None,0.07428,64315576989 VET *,503846542.28,1.95,2.72,9.95
24,Filecoin,FIL,None,49.01,90803610 FIL,411540069.06,2.24,-1.05,4.51
25,TRON,TRX,None,0.05788,71659657369 TRX *,653096000.04,0.84,0.93,3.26
26,Monero,XMR,None,213.49,17960033 XMR,147190704.42,0.63,2.31,7.00
27,Aave,AAVE,None,287.97,12912372 AAVE *,273484723.91,1.23,-0.15,13.06
28,EOS,EOS,None,3.66,955493659 EOS *,689278966.05,1.06,-0.40,0.30
29,Terra,LUNA,None,8.25,417900991 LUNA *,266390835.50,2.75,-2.74,27.06
30,Crypto.com Coin,CRO,None,0.1168,25263013692 CRO *,41193495.70,1.97,1.01,4.02
