1,Bitcoin,BTC,None,30425.86,19042731 BTC,29101473475.43,0.33,1.89,-1.92
2,Ethereum,ETH,None,2090.41,120819480 ETH,18509929297.43,0.65,3.35,-10.80
3,Tether,USDT,None,0.9989,75752120651 USDT *,55745978864.35,-0.01,0.01,-0.09
4,USD Coin,USDC,None,1.00,52245949280 USDC *,5271575139.67,0.00,-0.04,0.04
5,BNB,BNB,None,305.96,163276975 BNB *,1584497814.56,0.49,2.77,-4.18
6,XRP,XRP,None,0.4376,48343101197 XRP *,1598581918.65,0.47,3.58,-14.80
7,Cardano,ADA,None,0.5781,33739028516 ADA,935138863.18,0.42,3.84,-8.09
8,Solana,SOL,None,57.13,337356029 SOL *,1823895389.02,1.21,6.49,-14.44
9,Binance USD,BUSD,None,1.00,18194582206 BUSD *,6186204947.85,-0.02,0.23,0.21
10,Dogecoin,DOGE,None,0.09021,132670764300 DOGE,560800172.92,0.25,2.70,-16.84
11,Polkadot,DOT,None,11.03,987579315 DOT *,763521914.82,0.21,3.86,-2.85
12,Avalanche,AVAX,None,34.40,269113119 AVAX *,676043628.43,0.77,5.60,-22.81
13,Wrapped Bitcoin,WBTC,None,30468.71,283354 WBTC *,298928207.58,0.37,2.08,-1.81
14,TRON,TRX,None,0.07229,97652953958 TRX *,952468477.49,-0.16,4.64,-6.11
15,Shiba Inu,SHIB,None,0.00001255,549063278876302 SHIB *,502026876.41,0.14,4.69,-22.57
16,Dai,DAI,None,1.00,6521275093 DAI *,364028605.27,0.01,0.09,0.07
17,Polygon,MATIC,None,0.7269,7948866567 MATIC *,603630385.46,0.35,7.33,-18.36
18,Litecoin,LTC,None,72.97,70305969 LTC,802347483.89,0.82,8.57,-9.05
19,Cronos,CRO,None,0.2023,25263013692 CRO *,36395070.35,0.82,4.43,-12.18
20,UNUS SED LEO,LEO,None,4.98,953954130 LEO *,6314091.86,0.23,0.93,-8.03
21,NEAR Protocol,NEAR,None,6.66,689978459 NEAR *,470862319.75,1.32,2.01,-30.65
22,FTX Token,FTT,None,32.04,136304476 FTT *,65212404.33,0.28,0.51,-3.30
23,Bitcoin Cash,BCH,None,206.68,19066094 BCH,3449664523.31,0.47,4.76,-10.88
24,Uniswap,UNI,None,5.47,718820640 UNI *,162612315.63,0.80,8.37,-10.07
25,Chainlink,LINK,None,7.73,467009550 LINK *,414870183.39,0.96,4.14,-10.01
26,Stellar,XLM,None,0.1417,24807288388 XLM *,192271551.77,1.00,4.36,-4.52
27,Algorand,ALGO,None,0.4955,6812361591 ALGO *,164358297.94,-0.71,8.38,-15.29
28,Cosmos,ATOM,None,11.48,286370297 ATOM *,296845801.28,0.45,4.18,-15.63
29,Monero,XMR,None,172.87,18122488 XMR,172030064.28,-0.24,6.56,6.08
30,Flow,FLOW,None,2.98,1036200000 FLOW *,67783978.97,-0.03,5.55,-23.02
31,Ethereum Classic,ETC,None,21.76,134814262 ETC,380183083.83,0.99,4.47,-8.80
32,ApeCoin,APE,None,8.85,292187500 APE *,886481693.00,1.48,9.70,-1.90
33,Hedera,HBAR,None,0.1086,20741406793 HBAR *,36091653.83,1.03,6.09,-5.60
34,Decentraland,MANA,None,1.21,1844088105 MANA *,374939973.89,0.05,3.50,8.92
35,Elrond,EGLD,None,100.20,21949486 EGLD *,81397984.48,0.12,6.32,-7.71
36,VeChain,VET,None,0.0329,64315576989 VET *,168075854.43,1.12,6.32,-15.63
37,Internet Computer,ICP,None,8.62,233348639 ICP *,89102818.73,1.02,6.55,-18.38
38,Filecoin,FIL,None,8.58,205465624 FIL,249526238.02,0.61,3.68,-24.39
39,The Sandbox,SAND,None,1.37,1227539778 SAND *,313770778.67,0.64,4.37,-20.77
40,Tezos,XTZ,None,1.86,894888704 XTZ *,48837674.14,0.18,4.78,-12.21
41,Zcash,ZEC,None,114.04,14405444 ZEC,161363750.47,-0.75,11.19,22.68
42,Maker,MKR,None,1577.35,977631 MKR *,191727368.04,0.58,3.30,29.33
43,TerraUSD,UST,None,0.1303,11278902972 UST *,264405278.25,-0.79,3.06,-83.71
44,KuCoin Token,KCS,None,14.90,98379861 KCS *,8575407.08,0.33,8.06,7.04
45,Theta Network,THETA,None,1.39,1000000000 THETA *,95368961.93,0.04,4.19,-22.04
46,PancakeSwap,CAKE,None,4.72,296067550 CAKE *,120983376.97,0.78,4.49,-19.08
47,EOS,EOS,None,1.38,989721436 EOS *,311349693.95,0.47,4.44,-19.91
48,Axie Infinity,AXS,None,21.71,60907500 AXS *,327232420.74,0.93,7.86,-10.97
49,Aave,AAVE,None,92.60,13739134 AAVE *,178001182.16,2.02,9.95,-12.10
50,The Graph,GRT,None,0.1797,6900000000 GRT *,117891665.33,0.32,3.60,-27.00
51,TrueUSD,TUSD,None,1.00,1225128698 TUSD *,140383213.40,-0.04,-0.01,0.01
52,Klaytn,KLAY,None,0.4278,2828915226 KLAY *,68191638.51,0.50,8.35,-14.77
53,THORChain,RUNE,None,3.41,330688061 RUNE *,93471078.19,0.59,6.65,-22.89
54,Huobi Token,HT,None,7.05,154771858 HT *,25492155.70,0.07,1.03,-14.49
55,IOTA,MIOTA,None,0.392,2779530283 MIOTA *,45594169.56,0.34,8.97,0.17
56,Bitcoin SV,BSV,None,55.68,19061970 BSV,139539762.74,0.35,3.90,-12.16
57,Helium,HNT,None,9.18,117930333 HNT,19843559.64,0.42,5.97,-21.31
58,BitTorrent-New,BTT,None,0.000001131,929275160714000 BTT *,76024542.09,-0.27,2.05,-22.34
59,STEPN,GMT,None,1.58,600000000 GMT *,1086248504.09,0.39,10.57,-12.23
60,Pax Dollar,USDP,None,1.00,945642940 USDP *,10956249.74,0.02,0.08,0.05
61,eCash,XEC,None,0.00004962,19061910923313 XEC *,15945080.66,0.55,5.25,-15.87
62,Fantom,FTM,None,0.3586,2545006273 FTM *,363671611.35,1.07,6.99,-33.04
63,Quant,QNT,None,74.43,12072738 QNT *,48451331.76,0.50,5.20,2.95
64,Neutrino USD,USDN,None,0.9695,878163874 USDN *,18246983.57,0.13,2.06,1.46
65,Nexo,NEXO,None,1.39,560000011 NEXO *,8634427.30,-0.06,1.82,-19.84
66,Neo,NEO,None,10.96,70538831 NEO *,73839039.02,0.57,7.27,-20.77
67,OKB,OKB,None,12.88,60000000 OKB *,34897868.55,0.24,4.50,-11.75
68,Convex Finance,CVX,None,12.43,61626095 CVX *,20279453.88,2.74,12.62,-40.89
69,Stacks,STX,None,0.5735,1313947281 STX,11666414.37,1.06,3.74,-14.55
70,Waves,WAVES,None,6.87,108290362 WAVES *,310200010.97,1.05,6.29,-42.29
71,Chiliz,CHZ,None,0.1198,6000378917 CHZ *,72121079.14,0.42,5.62,-15.74
72,Kusama,KSM,None,82.14,8470098 KSM *,117451443.49,-1.11,11.81,-11.89
73,Zilliqa,ZIL,None,0.05304,12794897316 ZIL,196203614.27,1.00,5.14,-22.87
74,Loopring,LRC,None,0.5004,1330082009 LRC *,82381673.98,1.24,7.58,-12.86
75,Enjin Coin,ENJ,None,0.7399,889481956 ENJ *,90651728.50,0.33,5.25,-9.21
76,Dash,DASH,None,60.23,10728203 DASH,130186078.53,-0.26,4.23,-17.93
77,Curve DAO Token,CRV,None,1.39,457916451 CRV *,142669484.48,1.00,1.88,-29.81
78,Celo,CELO,None,1.45,439191694 CELO *,46597631.01,1.35,2.89,-26.58
79,Gala,GALA,None,0.0894,6977205436 GALA *,285420380.44,0.47,4.25,-18.18
80,Basic Attention Token,BAT,None,0.4148,1498966153 BAT *,75706180.00,0.53,5.40,-11.27
