1,Bitcoin,BTC,None,29283.10,19039137 BTC,42841124537.45,-1.79,0.81,-18.75
2,Ethereum,ETH,None,2014.42,120766739 ETH,24816096567.28,-2.13,2.69,-25.25
3,Tether,USDT,None,0.9982,78767402950 USDT *,87009885196.06,0.01,0.06,-0.17
4,USD Coin,USDC,None,1.00,50562017803 USDC *,8025797259.29,0.01,-0.03,0.03
5,BNB,BNB,None,290.58,163276975 BNB *,2774121165.18,-1.75,7.86,-23.39
6,XRP,XRP,None,0.4234,48343101197 XRP *,2949331810.31,-1.59,9.92,-29.73
7,Cardano,ADA,None,0.5289,33752565071 ADA,1946134960.44,-2.21,11.64,-32.49
8,Binance USD,BUSD,None,1.00,17612345347 BUSD *,9868896597.86,-0.06,-0.25,0.08
9,Solana,SOL,None,48.59,337322400 SOL *,2854210431.71,-3.23,8.75,-40.57
10,Dogecoin,DOGE,None,0.08833,132670764300 DOGE,1444350617.56,-2.08,6.85,-30.94
11,Polkadot,DOT,None,10.49,987579315 DOT *,1860790599.69,-1.65,19.99,-26.69
12,Avalanche,AVAX,None,32.14,268931975 AVAX *,1219234570.88,-3.12,5.86,-43.65
13,Wrapped Bitcoin,WBTC,None,29260.91,284604 WBTC *,508152222.83,-1.86,0.69,-18.84
14,TRON,TRX,None,0.07421,98179659753 TRX *,1476857084.74,-1.17,10.09,-13.89
15,Shiba Inu,SHIB,None,0.00001282,549063278876302 SHIB *,1436004009.78,-1.65,18.03,-35.93
16,Dai,DAI,None,0.9997,6421203527 DAI *,747662743.58,0.02,-0.13,-0.04
17,Polygon,MATIC,None,0.6675,7948866567 MATIC *,920972260.79,-2.93,10.97,-36.07
18,UNUS SED LEO,LEO,None,5.06,953954130 LEO *,7362927.50,0.26,-0.54,-5.80
19,Litecoin,LTC,None,67.96,70278594 LTC,1140599762.02,-1.51,5.53,-29.78
20,Cronos,CRO,None,0.182,25263013692 CRO *,76315921.42,-2.05,2.59,-35.07
21,NEAR Protocol,NEAR,None,6.51,682965885 NEAR *,1395963527.27,-1.45,1.42,-39.59
22,FTX Token,FTT,None,30.83,136538848 FTT *,159660018.54,-1.44,3.71,-14.15
23,Bitcoin Cash,BCH,None,202.29,19062481 BCH,3636972858.42,-1.71,4.18,-26.44
24,Uniswap,UNI,None,5.13,690836284 UNI *,236758652.05,-0.28,9.33,-32.49
25,Chainlink,LINK,None,7.15,467009550 LINK *,589902810.81,-2.07,8.80,-33.82
26,Stellar,XLM,None,0.1319,24814036771 XLM *,265923419.20,-0.57,9.08,-22.99
27,Flow,FLOW,None,2.89,1036200000 FLOW *,109557035.61,-1.95,6.46,-35.80
28,Algorand,ALGO,None,0.4414,6811775080 ALGO *,272811410.57,-2.01,5.38,-36.66
29,Cosmos,ATOM,None,10.31,286370297 ATOM *,758376092.61,-0.44,6.22,-41.65
30,Ethereum Classic,ETC,None,20.49,134750962 ETC,490694535.92,-1.70,8.17,-26.65
31,Monero,XMR,None,143.95,18120706 XMR,179098417.93,-1.55,4.39,-33.67
32,ApeCoin,APE,None,8.59,284843750 APE *,1769246887.21,-3.67,10.08,-35.17
33,Internet Computer,ICP,None,9.14,233047378 ICP *,273567974.39,3.55,26.56,-26.73
