1,Bitcoin,BTC,None,33653.67,18741381 BTC,41774346383.45,0.52,3.53,-12.24
2,Ethereum,ETH,None,1968.64,116413528 ETH,26134835889.51,0.92,5.00,-16.85
3,Tether,USDT,None,1.00,62699736754 USDT *,73389601937.81,0.01,-0.02,0.08
4,Binance Coin,BNB,None,296.07,153432897 BNB *,2944648991.93,1.19,13.08,-14.69
5,Cardano,ADA,None,1.25,31946328269 ADA,4642622579.58,1.30,8.38,-15.69
6,Dogecoin,DOGE,None,0.2354,130149856192 DOGE,5404752400.14,0.67,23.22,-23.52
7,XRP,XRP,None,0.6379,46244517593 XRP *,3983590077.50,0.26,17.03,-23.32
8,USD Coin,USDC,None,1.00,25436219700 USDC *,2726185391.39,0.00,-0.03,0.03
9,Polkadot,DOT,None,15.78,954519642 DOT *,1865090523.99,0.25,7.71,-31.30
10,Uniswap,UNI,None,17.81,575202575 UNI *,480783181.25,1.08,8.74,-18.42
11,Binance USD,BUSD,None,1.00,9577984008 BUSD *,5440400691.59,0.00,-0.01,0.02
12,Bitcoin Cash,BCH,None,473.28,18771263 BCH,1756610895.78,1.08,6.65,-20.20
13,Litecoin,LTC,None,128.93,66752415 LTC,2552028311.49,1.16,7.80,-22.54
14,Solana,SOL,None,30.75,272637428 SOL *,1073473231.82,1.02,14.87,-22.54
15,Chainlink,LINK,None,18.37,432509554 LINK *,1346514143.78,1.65,9.30,-20.18
16,Polygon,MATIC,None,1.18,6293422325 MATIC *,1402512135.19,1.29,9.60,-20.29
17,THETA,THETA,None,6.90,1000000000 THETA *,456884745.11,0.44,7.03,-22.93
18,Wrapped Bitcoin,WBTC,None,33676.04,191025 WBTC *,258885840.13,0.70,3.78,-12.15
19,Stellar,XLM,None,0.2557,23189089197 XLM *,617417520.78,1.26,9.00,-19.42
20,Dai,DAI,None,1.00,5119171909 DAI *,372895892.81,0.01,-0.03,0.07
21,VeChain,VET,None,0.07621,64315576989 VET *,814930236.93,1.23,6.63,-29.10
22,Internet Computer,ICP,None,37.76,128985798 ICP *,244331541.79,1.47,9.72,-31.63
23,Filecoin,FIL,None,58.74,81363773 FIL,1092007272.37,1.30,19.12,-15.63
24,Ethereum Classic,ETC,None,40.73,116313299 ETC,2276240118.38,0.91,11.50,-26.32
25,TRON,TRX,None,0.05782,71659657369 TRX *,1211806799.84,4.61,13.51,-16.10
26,Monero,XMR,None,218.63,17938167 XMR,298124470.90,0.57,8.48,-16.62
27,EOS,EOS,None,3.66,954508313 EOS *,1239483294.58,1.26,8.04,-24.77
28,SHIBA INU,SHIB,None,0.000006835,394796000000000 SHIB *,497133734.16,0.43,8.03,-17.76
29,Amp,AMP,None,0.06282,42227702186 AMP *,71065151.90,-1.01,4.36,-42.34
30,Aave,AAVE,None,207.79,12801441 AAVE *,371831909.60,1.70,0.99,-28.41
31,Algorand,ALGO,None,0.8328,3090473096 ALGO *,166526640.20,2.63,12.05,-18.03
32,PancakeSwap,CAKE,None,13.62,185464709 CAKE *,214049451.03,1.95,13.47,-14.89
33,Theta Fuel,TFUEL,None,0.4797,5301214400 TFUEL *,164903691.72,2.81,6.48,-4.46
34,FTX Token,FTT,None,26.37,94346958 FTT *,61889376.49,0.84,6.14,-17.34
35,Bitcoin BEP2,BTCB,None,33662.07,73099 BTCB *,13219320.46,0.46,3.57,-12.20
36,Crypto.com Coin,CRO,None,0.0966,25263013692 CRO *,51538982.98,0.63,9.12,-15.31
37,Bitcoin SV,BSV,None,128.40,18768364 BSV,596040594.75,0.67,7.83,-21.77
38,Neo,NEO,None,33.46,70538831 NEO *,492302920.84,2.35,11.49,-31.18
39,UNUS SED LEO,LEO,None,2.43,953954130 LEO *,1654963.35,-0.48,-2.16,-4.57
40,Maker,MKR,None,2315.38,991423 MKR *,124745943.50,1.30,2.38,-21.37
41,Tezos,XTZ,None,2.69,850244497 XTZ *,116730913.09,1.60,13.41,-13.74
42,Klaytn,KLAY,None,0.9164,2476487061 KLAY *,145211352.10,2.21,15.72,-21.21
43,IOTA,MIOTA,None,0.7958,2779530283 MIOTA *,59293866.04,1.51,11.04,-25.18
44,Terra,LUNA,None,5.20,417354930 LUNA *,227689493.75,0.62,10.30,-15.83
45,Cosmos,ATOM,None,9.60,210767263 ATOM *,236586624.33,2.10,6.97,-28.26
46,Avalanche,AVAX,None,11.45,172418164 AVAX *,73298047.91,1.86,8.80,-18.59
47,TerraUSD,UST,None,1.00,1908001236 UST *,37831184.54,0.15,0.18,0.11
48,Huobi Token,HT,None,10.06,175074232 HT *,256087785.60,0.35,9.54,-23.99
49,The Graph,GRT,None,0.6029,2897903422 GRT *,133766430.48,1.90,22.65,-11.50
50,Kusama,KSM,None,203.78,8470098 KSM *,323182141.73,1.84,12.40,-44.19
51,Hedera Hashgraph,HBAR,None,0.1826,8805029156 HBAR *,191459760.04,-0.03,10.01,-11.04
52,BitTorrent,BTT,None,0.002376,659952625000 BTT *,270294641.20,1.68,11.02,-28.74
