1,Bitcoin,BTC,None,31305.11,19040806 BTC,25835372064.61,0.68,4.00,-8.09
2,Ethereum,ETH,None,2145.71,120793055 ETH,14846088334.59,0.47,4.35,-14.77
3,Tether,USDT,None,0.9991,75752120651 USDT *,53979914930.03,0.03,0.03,-0.08
4,USD Coin,USDC,None,1.00,51138846685 USDC *,4610661832.24,-0.01,-0.02,0.01
5,BNB,BNB,None,312.01,163276975 BNB *,1611088257.05,0.67,4.92,-12.21
6,XRP,XRP,None,0.4474,48343101197 XRP *,1427697924.13,0.65,4.58,-21.03
7,Cardano,ADA,None,0.5975,33752565071 ADA,1090431331.56,0.38,10.78,-19.21
8,Solana,SOL,None,58.81,337461546 SOL *,1843835577.83,1.61,12.20,-21.81
9,Binance USD,BUSD,None,1.00,17735417590 BUSD *,8030119560.23,-0.14,0.01,0.02
10,Dogecoin,DOGE,None,0.09284,132670764300 DOGE,651900825.67,1.02,3.39,-25.25
11,Polkadot,DOT,None,11.80,987579315 DOT *,972329754.64,0.29,3.92,-11.00
12,Avalanche,AVAX,None,36.54,269103442 AVAX *,745037121.37,0.35,7.22,-29.07
13,Wrapped Bitcoin,WBTC,None,31259.19,284604 WBTC *,285212540.58,0.45,3.85,-8.24
14,Shiba Inu,SHIB,None,0.00001303,549063278876302 SHIB *,476871904.29,0.90,3.65,-29.17
15,TRON,TRX,None,0.07236,97973768830 TRX *,870741566.72,0.37,-0.20,-17.33
16,Dai,DAI,None,1.00,6444555561 DAI *,576951806.29,0.04,-0.07,0.12
17,Polygon,MATIC,None,0.7376,7948866567 MATIC *,579515915.34,0.89,7.50,-24.30
18,Cronos,CRO,None,0.2035,25263013692 CRO *,53092307.54,1.31,7.69,-20.65
19,NEAR Protocol,NEAR,None,7.37,688659904 NEAR *,614894913.90,1.25,9.63,-34.07
20,Litecoin,LTC,None,71.53,70292344 LTC,741432119.75,1.27,3.74,-23.88
21,UNUS SED LEO,LEO,None,4.98,953954130 LEO *,7284397.15,-0.05,-0.76,-6.74
