1,Bitcoin,BTC,None,48905.49,18793231 BTC,40585205312.32,-0.93,-0.88,3.84
2,Ethereum,ETH,None,3226.08,117201722 ETH,18113977628.12,-0.84,-1.85,-1.21
3,Cardano,ADA,None,2.44,32127741925 ADA,4710945372.52,-0.67,-0.91,11.12
4,Binance Coin,BNB,None,448.92,168137036 BNB *,2120660727.65,-1.10,-1.32,9.75
5,Tether,USDT,None,1.00,64626834131 USDT *,77546194008.54,0.04,0.00,0.01
6,XRP,XRP,None,1.22,46471846087 XRP *,4955470066.45,-1.31,-3.70,-4.99
7,Dogecoin,DOGE,None,0.3168,130950017720 DOGE,2600396650.72,-1.06,-3.27,8.08
8,Polkadot,DOT,None,27.87,987579315 DOT *,2047070057.14,-1.84,-0.97,21.93
9,USD Coin,USDC,None,0.9999,26988022975 USDC *,2204325275.10,0.03,-0.04,-0.01
10,Solana,SOL,None,73.76,286582752 SOL *,1513097170.74,-1.43,-6.31,67.20
11,Uniswap,UNI,None,28.25,587462596 UNI *,420152579.12,-1.24,-2.14,-6.27
12,Bitcoin Cash,BCH,None,676.06,18824013 BCH,2947054368.50,-1.17,-2.54,-1.89
13,Chainlink,LINK,None,27.86,447509554 LINK *,1455243796.43,-1.63,-2.93,2.60
14,Binance USD,BUSD,None,1.00,12302519501 BUSD *,5179448244.00,0.03,-0.02,0.01
15,Litecoin,LTC,None,179.74,66752615 LTC,1735474978.34,-1.18,-2.12,-1.63
16,Terra,LUNA,None,27.55,406204657 LUNA *,818005623.53,-1.50,-10.12,58.31
17,Polygon,MATIC,None,1.58,6458576924 MATIC *,1570905054.06,-1.75,2.08,9.93
18,Internet Computer,ICP,None,64.59,155186565 ICP *,377599380.32,-0.80,-4.86,0.48
19,Wrapped Bitcoin,WBTC,None,48973.22,194623 WBTC *,255232035.89,-0.74,-0.56,4.02
20,Ethereum Classic,ETC,None,67.54,129108678 ETC,3139529063.88,-0.89,-3.56,0.68
21,Stellar,XLM,None,0.3718,23560956074 XLM *,495958274.89,-1.12,-3.51,-5.89
22,VeChain,VET,None,0.1281,64315576989 VET *,855495006.73,-1.71,-3.87,-1.59
23,Filecoin,FIL,None,78.20,98551277 FIL,926971125.52,1.41,6.90,7.81
24,Avalanche,AVAX,None,43.79,173672946 AVAX *,1931663488.01,0.36,11.74,142.35
25,THETA,THETA,None,7.26,1000000000 THETA *,377147244.77,-1.21,-0.19,0.55
26,TRON,TRX,None,0.088,71659657369 TRX *,987580081.42,-0.91,-2.83,-5.02
27,Dai,DAI,None,1.00,6049530355 DAI *,412285189.26,-0.01,-0.10,-0.08
28,Monero,XMR,None,288.17,17977755 XMR,210367761.10,-1.66,2.21,6.22
29,Aave,AAVE,None,400.13,12962782 AAVE *,345706223.84,-0.61,-2.17,-3.46
30,EOS,EOS,None,5.35,956255343 EOS *,1730722209.11,-2.23,-2.03,-2.49
31,Cosmos,ATOM,None,22.09,220116348 ATOM *,1462984615.23,-2.91,16.77,42.07
32,PancakeSwap,CAKE,None,23.63,212428814 CAKE *,461166614.98,-0.91,-2.85,14.22
33,FTX Token,FTT,None,51.29,94346958 FTT *,395393447.27,-1.32,1.89,2.18
34,The Graph,GRT,None,0.9849,4715735200 GRT *,269549825.80,-2.14,-5.59,9.44
35,Axie Infinity,AXS,None,76.80,60907500 AXS *,1864700360.72,-0.89,4.14,13.32
36,Klaytn,KLAY,None,1.85,2497405026 KLAY *,109101601.02,-1.29,-3.54,3.12
37,Crypto.com Coin,CRO,None,0.155,25263013692 CRO *,29001302.86,-0.48,0.41,3.46
38,Neo,NEO,None,55.36,70538831 NEO *,388693745.92,-1.59,-2.07,-0.77
39,Algorand,ALGO,None,1.15,3267839784 ALGO *,358551640.85,-1.72,0.78,23.05
40,Maker,MKR,None,3870.40,991328 MKR *,183580427.45,-1.65,1.50,0.05
41,Bitcoin BEP2,BTCB,None,48924.19,78123 BTCB *,37210771.89,-0.94,-0.56,4.01
42,SHIBA INU,SHIB,None,0.000008136,394796000000000 SHIB *,314483766.20,-1.28,-4.11,0.13
43,Tezos,XTZ,None,3.68,856446489 XTZ *,172908548.74,-1.16,-1.18,-0.38
44,Bitcoin SV,BSV,None,167.91,18821039 BSV,357069958.54,-1.25,-2.21,1.34
45,IOTA,MIOTA,None,1.07,2779530283 MIOTA *,54480743.81,-0.89,-3.26,-7.92
46,BitTorrent,BTT,None,0.004375,659952625000 BTT *,422900510.57,-0.78,-3.24,-9.46
47,Elrond,EGLD,None,149.13,19327558 EGLD *,77251033.97,-1.82,-4.37,8.76
48,UNUS SED LEO,LEO,None,2.95,953954130 LEO *,1426749.39,-0.50,-0.03,-1.21
49,Kusama,KSM,None,328.63,8470098 KSM *,228329507.90,-1.43,-5.01,20.29
50,NEAR Protocol,NEAR,None,6.13,438521919 NEAR *,401201753.71,8.08,38.85,88.85
51,Waves,WAVES,None,24.88,105961414 WAVES *,243626611.52,-0.88,1.58,-5.05
52,Compound,COMP,None,462.33,5482837 COMP *,234079817.66,-1.19,-3.69,-3.12
53,Amp,AMP,None,0.05971,42227702186 AMP *,28222915.16,-0.12,-0.50,-1.86
54,THORChain,RUNE,None,11.22,223555660 RUNE *,279219012.02,0.01,20.63,44.79
55,Dash,DASH,None,237.40,10290967 DASH,457024633.60,-1.82,1.96,19.24
56,Huobi Token,HT,None,14.56,166099511 HT *,215481027.28,-1.25,-3.33,8.73
57,Decred,DCR,None,178.95,13237585 DCR,19450109.63,-0.10,2.53,4.16
58,Chiliz,CHZ,None,0.3818,5893953082 CHZ *,849591598.69,-2.53,7.82,2.77
59,TerraUSD,UST,None,1.00,2257808708 UST *,50585071.64,0.04,-0.06,0.10
60,Hedera Hashgraph,HBAR,None,0.2428,9295063767 HBAR *,213590556.46,-0.90,-1.60,-7.40
61,Quant,QNT,None,186.80,12072738 QNT *,41820734.38,-1.48,-2.85,24.00
62,Helium,HNT,None,22.96,96029290 HNT,47611963.10,-0.98,-5.22,38.72
63,XinFin Network,XDC,None,0.1758,12289354545 XDC *,21344725.53,-1.15,-4.08,20.06
64,Zcash,ZEC,None,155.75,12479031 ZEC,284006863.45,0.47,1.33,7.61
65,Holo,HOT,None,0.01077,172794036341 HOT *,190862997.59,-1.17,-4.85,-8.88
66,NEM,XEM,None,0.2053,8999999999 XEM *,82272566.44,-1.12,-1.22,-3.62
67,Theta Fuel,TFUEL,None,0.3375,5301214400 TFUEL *,67617260.78,-0.85,-0.23,-2.89
68,Stacks,STX,None,1.45,1215864188 STX *,47139063.23,-1.45,0.73,1.54
69,SushiSwap,SUSHI,None,13.68,127244443 SUSHI *,449616032.84,-1.49,-6.73,11.98
70,Decentraland,MANA,None,0.8741,1795387643 MANA *,294898588.35,-2.58,3.63,4.22
71,Enjin Coin,ENJ,None,1.83,834331121 ENJ *,450966340.98,-3.43,10.02,8.97
72,Synthetix,SNX,None,13.08,114841533 SNX *,274351350.67,-2.98,3.88,0.71
73,Fantom,FTM,None,0.5713,2545006273 FTM *,203280600.02,-1.01,15.88,69.15
74,yearn.finance,YFI,None,38798.50,36635 YFI *,197085840.04,-1.00,-2.53,-1.87
75,Celsius,CEL,None,5.84,238863520 CEL *,16017089.61,0.03,-4.36,-5.67
76,TrueUSD,TUSD,None,0.9998,1371015081 TUSD *,83533583.49,0.01,-0.06,-0.02
77,Qtum,QTUM,None,13.64,98633082 QTUM *,436101531.83,-1.82,-3.57,-3.41
78,Flow,FLOW,None,23.23,57064824 FLOW *,395172920.19,-2.32,-0.82,-0.38
79,Ravencoin,RVN,None,0.1385,9479260000 RVN,112155944.72,-0.84,-3.91,-7.99
