1,Bitcoin,BTC,None,46737.48,18900156 BTC,32166727776.26,-0.53,-6.71,-7.60
2,Ethereum,ETH,None,3784.23,118727410 ETH,23999841385.64,-0.39,-8.47,-13.18
3,Binance Coin,BNB,None,521.01,166801148 BNB *,1900967742.94,-1.70,-8.73,-11.58
4,Tether,USDT,None,1.00,76458204084 USDT *,66458705759.02,0.02,-0.09,-0.12
5,Solana,SOL,None,155.21,307646777 SOL *,2547597256.16,-1.63,-10.50,-20.08
6,USD Coin,USDC,None,0.9998,41520074328 USDC *,4967338938.55,-0.17,-0.05,0.03
7,Cardano,ADA,None,1.23,33428973143 ADA,1448791701.88,-1.44,-9.05,-14.03
8,XRP,XRP,None,0.7829,47247295769 XRP *,2509034504.01,-0.57,-6.94,-5.48
9,Polkadot,DOT,None,25.97,987579315 DOT *,1292550086.49,-1.42,-12.29,-8.07
10,Dogecoin,DOGE,None,0.1576,132508198462 DOGE,968464044.74,-0.91,-7.26,-11.68
11,Terra,LUNA,None,52.75,377534402 LUNA *,1883487110.21,-3.43,-14.82,-21.61
12,Avalanche,AVAX,None,79.15,243092496 AVAX *,1146609021.58,-1.65,-10.17,-15.18
13,SHIBA INU,SHIB,None,0.00003293,549057767444319 SHIB *,1464806802.05,-1.08,-10.13,-10.82
14,Binance USD,BUSD,None,0.9996,13800014686 BUSD *,5256175269.93,-0.04,-0.05,-0.07
15,Crypto.com Coin,CRO,None,0.5328,25263013692 CRO *,224282572.38,-1.32,-11.75,-10.81
16,Polygon,MATIC,None,1.82,7081682963 MATIC *,2267821498.51,-1.91,-12.78,-20.15
17,Wrapped Bitcoin,WBTC,None,46476.17,256290 WBTC *,349097934.03,-0.48,-6.37,-7.39
18,Litecoin,LTC,None,144.54,69183532 LTC,1097150357.30,-1.18,-9.21,-10.72
19,Uniswap,UNI,None,14.15,627936759 UNI *,236854841.01,-1.08,-11.67,-18.44
20,TerraUSD,UST,None,1.00,8717278592 UST *,172640996.91,-0.09,-0.07,0.07
21,TRON,TRX,None,0.08501,101881906902 TRX *,1140985646.67,-0.71,-6.72,-2.72
22,Algorand,ALGO,None,1.32,6327951743 ALGO *,300354758.66,-3.42,-14.31,-25.44
23,Chainlink,LINK,None,17.78,467009554 LINK *,906680238.53,-2.05,-13.11,-10.61
24,Bitcoin Cash,BCH,None,421.66,18926625 BCH,884428422.72,-1.82,-8.08,-11.37
25,Dai,DAI,None,0.9982,6474951714 DAI *,808473625.19,-0.06,-0.38,-1.15
26,Stellar,XLM,None,0.2531,24628280084 XLM *,401585731.22,-0.72,-8.37,-14.50
27,Decentraland,MANA,None,3.17,1824595435 MANA *,710105035.28,-1.53,-12.82,-16.11
28,Axie Infinity,AXS,None,92.92,60907500 AXS *,310260280.84,-1.21,-10.87,-12.45
29,FTX Token,FTT,None,37.74,139295691 FTT *,121077681.85,-0.55,-8.59,-14.29
30,NEAR Protocol,NEAR,None,9.08,575299119 NEAR *,369065199.86,-2.19,-14.26,24.35
31,VeChain,VET,None,0.07713,64315576989 VET *,355793465.69,-1.89,-11.34,-17.70
32,Cosmos,ATOM,None,21.76,226186564 ATOM *,394006693.95,-0.53,-11.45,-10.88
33,Bitcoin BEP2,BTCB,None,46671.19,105115 BTCB *,60875725.55,-0.91,-6.79,-7.41
34,Filecoin,FIL,None,35.89,136696542 FIL,495394672.27,-0.88,-9.81,-7.73
35,Internet Computer,ICP,None,25.07,190285478 ICP *,186795584.77,-1.85,-12.01,-17.22
36,Elrond,EGLD,None,234.25,19869702 EGLD *,173104411.91,-2.26,-10.95,-18.91
37,Ethereum Classic,ETC,None,34.24,131614574 ETC,512564277.62,-1.19,-9.80,-13.22
38,The Sandbox,SAND,None,4.80,913364619 SAND *,1292574036.69,-2.03,-12.41,-12.94
39,Hedera,HBAR,None,0.2256,18092792421 HBAR *,56673518.89,-2.14,-11.85,-19.49
40,THETA,THETA,None,3.91,1000000000 THETA *,180149392.69,-1.38,-11.80,-18.72
41,Tezos,XTZ,None,4.06,870331212 XTZ *,215724444.42,-1.29,-10.61,-2.87
42,Gala,GALA,None,0.506,6977205436 GALA *,1038282645.47,-2.83,-14.41,-0.85
43,UNUS SED LEO,LEO,None,3.63,953954130 LEO *,3152892.64,0.00,-2.73,0.28
44,Monero,XMR,None,183.97,18043132 XMR,169057955.54,-1.53,-7.09,-8.78
45,Fantom,FTM,None,1.28,2545006273 FTM *,365514613.21,-2.27,-14.06,-20.02
46,Klaytn,KLAY,None,1.23,2553157661 KLAY *,55847717.65,-1.34,-8.79,-6.63
47,EOS,EOS,None,3.09,973748477 EOS *,943439137.95,-2.03,-7.30,-5.93
48,IOTA,MIOTA,None,1.03,2779530283 MIOTA *,46991587.98,-1.55,-9.78,-12.35
49,The Graph,GRT,None,0.5985,4715735200 GRT *,104971941.98,-1.47,-12.69,-15.71
50,BitTorrent,BTT,None,0.002852,990000000000 BTT *,437830870.05,-1.21,-13.44,-14.74
51,Loopring,LRC,None,2.10,1328333700 LRC *,324956694.77,-1.18,-14.19,-15.06
52,Flow,FLOW,None,8.63,316835587 FLOW *,87508534.88,-0.54,-6.38,-10.91
53,PancakeSwap,CAKE,None,10.93,248508773 CAKE *,184318845.39,-1.40,-5.88,-11.35
54,Helium,HNT,None,26.03,104094949 HNT,29505127.20,-1.11,-12.54,-16.54
55,Stacks,STX,None,1.86,1288264894 STX *,56950970.47,-1.82,-12.79,-18.69
56,Bitcoin SV,BSV,None,125.43,18923039 BSV,263819580.73,-2.11,-6.58,-18.72
57,Kusama,KSM,None,273.28,8470098 KSM *,80316057.17,-1.24,-10.22,-5.42
58,Maker,MKR,None,2233.88,988620 MKR *,107286016.36,-2.00,-9.59,-14.40
59,Aave,AAVE,None,162.42,13433293 AAVE *,188072848.34,-0.72,-9.74,-12.30
60,Quant,QNT,None,178.93,12072738 QNT *,82016435.46,-0.31,-10.05,2.33
61,Amp,AMP,None,0.04911,42227702186 AMP *,21597062.62,-0.87,-6.11,-6.27
62,eCash,XEC,None,0.0001058,18922673423313 XEC *,39733044.57,-1.70,-9.51,-16.54
63,Enjin Coin,ENJ,None,2.33,842268984 ENJ *,230544269.67,-1.34,-13.78,-19.83
64,Zcash,ZEC,None,148.09,13295150 ZEC,357232434.74,-1.23,-12.82,-18.35
65,Harmony,ONE,None,0.1677,11465558698 ONE *,86411093.90,-1.31,-10.91,-10.28
