1,Bitcoin,BTC,None,43949.10,18927281 BTC,33499938688.54,0.21,2.84,0.87
2,Ethereum,ETH,None,3372.26,119134521 ETH,16662871689.19,0.09,4.14,-5.02
3,BNB,BNB,None,487.01,166801148 BNB *,4131335430.58,0.23,5.07,2.52
4,Tether,USDT,None,1.00,78391169307 USDT *,62300703830.58,-0.01,-0.01,0.02
5,Solana,SOL,None,151.70,311778397 SOL *,2242337549.56,-0.42,8.22,-2.19
6,USD Coin,USDC,None,0.9998,44640381375 USDC *,3486307844.29,0.00,-0.04,0.00
7,Cardano,ADA,None,1.30,33513262565 ADA,1651269250.23,0.23,10.08,5.54
8,XRP,XRP,None,0.7995,47615126275 XRP *,1976047993.61,0.15,3.76,3.25
9,Terra,LUNA,None,82.07,357033224 LUNA *,2508763809.75,1.34,11.40,4.42
10,Polkadot,DOT,None,27.32,987579315 DOT *,1416836454.89,-0.23,6.95,1.95
11,Avalanche,AVAX,None,95.82,244351447 AVAX *,962440338.84,0.79,7.06,-2.07
12,Dogecoin,DOGE,None,0.1617,132670764300 DOGE,896008600.31,0.75,5.38,1.40
13,Shiba Inu,SHIB,None,0.00003172,549063278876302 SHIB *,1541810684.78,-1.45,14.52,4.15
14,Polygon,MATIC,None,2.39,7162892503 MATIC *,1879726038.45,1.39,1.51,8.98
15,Binance USD,BUSD,None,0.9997,14178105995 BUSD *,4543435607.04,-0.10,0.01,-0.14
16,Chainlink,LINK,None,26.78,467009550 LINK *,1991680591.92,0.09,0.33,5.23
17,Crypto.com Coin,CRO,None,0.4865,25263013692 CRO *,178944128.79,0.00,6.04,-3.53
18,Wrapped Bitcoin,WBTC,None,43894.33,266881 WBTC *,203187317.17,0.10,2.68,0.69
19,NEAR Protocol,NEAR,None,17.53,607844332 NEAR *,1232115257.78,-0.04,-3.07,13.96
20,TerraUSD,UST,None,0.9983,10552612817 UST *,225667923.92,0.03,0.00,-0.09
21,Uniswap,UNI,None,16.27,627290352 UNI *,221715263.35,0.48,1.93,-5.42
22,Litecoin,LTC,None,141.74,69399594 LTC,881585291.51,0.37,7.75,4.15
23,Algorand,ALGO,None,1.49,6464240231 ALGO *,455700298.87,0.45,3.25,-4.25
24,Dai,DAI,None,1.00,9422424798 DAI *,410906023.82,0.07,0.08,0.12
25,Cosmos,ATOM,None,40.19,226226028 ATOM *,2160494705.37,-0.71,3.75,3.60
26,Fantom,FTM,None,2.94,2545006273 FTM *,2436520691.30,1.56,13.96,-0.50
27,Bitcoin Cash,BCH,None,383.91,18953613 BCH,4878392863.42,0.11,3.81,-4.40
28,Stellar,XLM,None,0.2826,24774158331 XLM *,597727270.53,-0.63,7.57,5.74
29,TRON,TRX,None,0.06806,101838540037 TRX *,793399590.25,0.18,4.82,-4.65
30,Internet Computer,ICP,None,34.91,195757180 ICP *,573101520.90,1.05,1.72,13.63
31,FTX Token,FTT,None,41.43,138569138 FTT *,153137840.43,0.19,4.28,8.42
32,Decentraland,MANA,None,3.09,1824526735 MANA *,578911262.84,0.57,5.37,5.55
33,Hedera,HBAR,None,0.2957,18092792421 HBAR *,114994147.39,0.23,7.61,2.58
34,VeChain,VET,None,0.08239,64315576989 VET *,286969174.38,0.86,7.38,-3.06
35,Axie Infinity,AXS,None,78.15,60907500 AXS *,272840097.02,0.61,7.72,-2.74
36,The Sandbox,SAND,None,5.14,920948319 SAND *,1130820609.66,0.66,8.60,2.38
37,Bitcoin BEP2,BTCB,None,43917.63,105124 BTCB *,45235115.91,0.23,2.64,0.82
38,Filecoin,FIL,None,30.77,147799573 FIL,438777977.65,0.71,6.52,-7.48
39,Elrond,EGLD,None,214.92,20009453 EGLD *,140839248.16,0.56,4.64,0.12
40,Theta Network,THETA,None,4.28,1000000000 THETA *,178023044.72,0.02,4.45,-3.50
41,Ethereum Classic,ETC,None,31.10,132246065 ETC,336313165.87,0.17,5.00,-3.04
42,Harmony,ONE,None,0.3442,11584924102 ONE *,504946737.90,0.31,13.77,22.42
43,Tezos,XTZ,None,4.38,874037295 XTZ *,176009764.42,0.43,5.07,-3.25
44,Helium,HNT,None,35.68,106128504 HNT,29344662.05,-0.37,7.78,-8.05
45,Klaytn,KLAY,None,1.42,2601159016 KLAY *,75588164.15,0.03,5.49,4.78
46,UNUS SED LEO,LEO,None,3.85,953954130 LEO *,3961349.59,-0.10,3.05,1.25
47,Monero,XMR,None,198.88,18061881 XMR,128414858.97,0.01,3.05,-4.06
48,IOTA,MIOTA,None,1.19,2779530283 MIOTA *,42526084.09,0.41,4.09,1.27
49,Aave,AAVE,None,218.57,13479901 AAVE *,267978950.37,0.24,2.51,-5.55
50,PancakeSwap,CAKE,None,11.30,257874476 CAKE *,165524886.76,0.26,3.69,-0.09
51,EOS,EOS,None,2.88,977652036 EOS *,370140381.92,0.05,4.14,-0.80
52,Stacks,STX,None,2.17,1292968129 STX *,63857913.43,-0.43,3.41,-3.44
53,The Graph,GRT,None,0.594,4715735200 GRT *,130067173.68,0.36,4.57,-6.17
54,BitTorrent,BTT,None,0.002603,990000000000 BTT *,297746047.63,0.11,3.69,-6.28
55,Gala,GALA,None,0.3586,6977205436 GALA *,725641080.00,1.38,11.88,-5.37
56,Flow,FLOW,None,7.93,316835587 FLOW *,62422789.19,0.32,3.88,-6.13
57,Kusama,KSM,None,275.55,8470098 KSM *,109902490.04,-0.19,5.76,2.86
58,THORChain,RUNE,None,7.01,330688061 RUNE *,93259052.85,1.66,13.65,-1.56
59,Curve DAO Token,CRV,None,4.90,448049855 CRV *,597955885.34,0.48,6.38,-9.61
60,Loopring,LRC,None,1.63,1328716100 LRC *,222006013.52,-0.50,9.26,-9.92
61,Bitcoin SV,BSV,None,112.88,18949820 BSV,95917389.00,0.05,2.88,-1.58
62,Maker,MKR,None,2167.91,985129 MKR *,67986525.57,0.22,4.53,-3.74
63,Enjin Coin,ENJ,None,2.52,847535706 ENJ *,243640529.73,-0.26,8.94,2.91
64,Quant,QNT,None,169.31,12072738 QNT *,43066913.59,-0.82,-0.04,1.35
65,Zcash,ZEC,None,144.34,13510106 ZEC,282828925.31,0.86,2.06,4.78
66,Celo,CELO,None,4.97,387111233 CELO *,104452968.08,0.52,9.86,-3.18
67,eCash,XEC,None,0.00009809,18949710923313 XEC *,25194502.75,0.41,5.16,-6.46
68,Amp,AMP,None,0.04278,42227702186 AMP *,37241749.64,0.36,2.14,-8.76
69,Oasis Network,ROSE,None,0.5193,3493014306 ROSE *,797394124.49,-1.14,16.20,34.91
70,Neo,NEO,None,24.74,70538831 NEO *,86915639.05,0.16,3.92,0.80
71,Arweave,AR,None,52.08,33394701 AR *,52538542.26,-0.21,7.96,-7.81
72,Kadena,KDA,None,10.17,166890458 KDA,61413239.20,-0.15,9.72,-5.18
73,Basic Attention Token,BAT,None,1.12,1494004919 BAT *,163362345.07,0.43,5.61,-5.67
74,Chiliz,CHZ,None,0.2768,5955069766 CHZ *,130163906.81,0.09,5.38,-1.14
75,KuCoin Token,KCS,None,20.37,80118638 KCS *,12366348.05,0.10,5.16,-4.44
76,Waves,WAVES,None,14.74,107208214 WAVES *,95613963.04,0.18,4.60,2.06
77,OKB,OKB,None,26.13,60000000 OKB *,266702480.30,0.20,5.21,-1.01
78,Dash,DASH,None,143.52,10525705 DASH,256800135.11,0.10,1.09,16.44
79,Huobi Token,HT,None,9.50,157723680 HT *,60299836.68,0.13,1.05,4.26
80,TrueUSD,TUSD,None,1.00,1423320764 TUSD *,90137736.74,-0.01,0.03,0.01
81,Nexo,NEXO,None,2.34,560000011 NEXO *,11980901.81,-0.84,7.69,-2.70
82,Mina,MINA,None,3.59,347674101 MINA *,46715052.27,0.01,4.13,-8.12
83,Compound,COMP,None,198.02,6326898 COMP *,64949155.93,0.00,4.42,-3.57
84,yearn.finance,YFI,None,33784.91,36638 YFI *,241191464.09,0.66,3.12,3.18
85,Holo,HOT,None,0.00653,173113683517 HOT *,84550382.13,0.23,7.28,-3.64
86,XDC Network,XDC,None,0.09177,12305012699 XDC *,7093771.29,0.15,5.78,-2.53
87,Ravencoin,RVN,None,0.1029,10473290000 RVN,107561213.43,-0.26,8.97,-13.40
88,NEM,XEM,None,0.1192,8999999999 XEM *,18852870.79,0.10,4.09,-8.18
89,IoTeX,IOTX,None,0.1059,9540779324 IOTX *,35044635.47,-0.44,3.81,-4.62
90,Secret,SCRT,None,6.66,149815729 SCRT *,26731987.41,0.48,10.84,10.43
