1,Bitcoin,BTC,None,53598.25,18890368 BTC,39789134214.89,0.36,-5.10,0.05
2,Ethereum,ETH,None,4220.71,118594454 ETH,25879591527.67,0.67,-6.44,4.71
3,Binance Coin,BNB,None,594.64,166801148 BNB *,2483348354.15,0.51,-4.01,1.62
4,Tether,USDT,None,1.00,74103154139 USDT *,92639344689.65,0.04,0.04,0.03
5,Solana,SOL,None,211.22,305641481 SOL *,4061060881.16,0.25,-9.73,10.29
6,Cardano,ADA,None,1.56,33313246915 ADA,2675040145.36,-0.03,-9.26,1.84
7,XRP,XRP,None,0.9222,47247295769 XRP *,2714612021.98,-0.14,-5.15,-1.51
8,USD Coin,USDC,None,1.00,39053512640 USDC *,5879299771.69,0.04,0.15,0.05
9,Polkadot,DOT,None,33.64,987579315 DOT *,1330467953.86,0.21,-5.92,-2.17
10,Dogecoin,DOGE,None,0.2,132372487735 DOGE,1260948451.12,0.47,-4.64,-0.45
11,Terra,LUNA,None,63.34,386678347 LUNA *,2679583112.98,-2.57,-4.30,55.36
12,Avalanche,AVAX,None,108.14,223960788 AVAX *,1379333419.68,2.31,0.25,4.15
13,SHIBA INU,SHIB,None,0.00004041,549017780633973 SHIB *,2740977675.60,0.30,-4.14,4.98
14,Crypto.com Coin,CRO,None,0.6397,25263013692 CRO *,439685695.88,1.47,-7.83,-7.30
15,Polygon,MATIC,None,2.27,7021682963 MATIC *,4686886096.45,1.94,6.62,38.98
16,Binance USD,BUSD,None,1.00,13772876851 BUSD *,7476804629.82,0.00,0.02,0.06
17,Wrapped Bitcoin,WBTC,None,52643.39,253976 WBTC *,298622281.75,0.24,-5.54,-1.07
18,Litecoin,LTC,None,188.10,69109370 LTC,1805361744.47,0.33,-7.56,-3.48
19,Uniswap,UNI,None,19.93,627911721 UNI *,410267396.45,0.13,-10.90,3.89
20,Algorand,ALGO,None,1.74,6289055584 ALGO *,479972708.01,0.83,-7.42,9.21
21,Chainlink,LINK,None,23.29,467009554 LINK *,1012128905.80,0.60,-5.08,-2.37
22,Bitcoin Cash,BCH,None,532.36,18917675 BCH,1248790208.14,-0.60,-5.18,-4.22
23,TRON,TRX,None,0.09389,101902911866 TRX *,2566234253.71,0.25,-3.61,2.14
24,Stellar,XLM,None,0.3262,24636939338 XLM *,1347154477.72,0.43,-3.59,-0.54
25,TerraUSD,UST,None,1.00,7862451540 UST *,257860476.92,0.01,-0.08,-0.05
26,Axie Infinity,AXS,None,127.59,60907500 AXS *,717352128.19,-0.17,-5.54,2.05
27,Cosmos,ATOM,None,32.68,225611587 ATOM *,1919513692.79,2.60,15.16,21.32
28,Decentraland,MANA,None,3.91,1824605535 MANA *,1534295177.94,0.75,-11.20,-15.76
29,VeChain,VET,None,0.1088,64315576989 VET *,504416923.77,0.18,-6.10,-3.68
30,Internet Computer,ICP,None,37.86,183582650 ICP *,231724517.76,0.25,-5.64,-3.79
31,Elrond,EGLD,None,345.17,19822737 EGLD *,354858402.80,2.03,-3.30,-13.01
32,FTX Token,FTT,None,47.02,139460202 FTT *,277398565.96,0.30,-4.70,-0.82
33,Filecoin,FIL,None,49.66,131374190 FIL,688794540.93,0.44,-7.49,-5.38
34,Dai,DAI,None,0.9966,6474951714 DAI *,938776589.37,0.08,-0.08,-0.26
35,THETA,THETA,None,6.14,1000000000 THETA *,358961458.47,0.97,-3.50,-5.54
36,Ethereum Classic,ETC,None,44.88,131395512 ETC,633498396.00,0.09,-4.63,-3.48
37,Hedera,HBAR,None,0.3154,18092792421 HBAR *,96380315.03,1.00,-6.95,-1.90
38,Bitcoin BEP2,BTCB,None,53788.77,105114 BTCB *,52272543.81,0.82,-5.37,0.20
39,The Sandbox,SAND,None,6.03,913246119 SAND *,2253228786.09,1.35,-10.08,-12.79
40,NEAR Protocol,NEAR,None,9.11,568848478 NEAR *,419287861.60,-1.72,10.70,10.84
41,Fantom,FTM,None,1.98,2545006273 FTM *,444773038.39,0.09,-4.10,-6.00
42,Tezos,XTZ,None,4.80,869164489 XTZ *,245970286.11,0.76,-5.84,3.49
43,The Graph,GRT,None,0.861,4715735200 GRT *,157748381.51,0.66,-3.98,0.78
44,Monero,XMR,None,223.61,18040104 XMR,216148521.27,0.71,-6.52,-1.18
45,IOTA,MIOTA,None,1.41,2779530283 MIOTA *,119845068.89,-0.15,-6.67,3.52
46,Klaytn,KLAY,None,1.47,2550440887 KLAY *,76694148.69,0.25,-1.57,8.88
47,EOS,EOS,None,3.79,972902849 EOS *,797928469.18,-0.34,-4.27,-1.21
48,Flow,FLOW,None,11.59,314343134 FLOW *,112639400.36,0.67,-3.87,-0.84
49,Helium,HNT,None,35.10,103352917 HNT,33219371.31,0.69,-8.56,-13.37
50,Gala,GALA,None,0.5064,6977205436 GALA *,949152998.78,1.36,-14.71,-28.56
51,Stacks,STX,None,2.57,1286934311 STX *,240893360.33,7.38,0.08,40.15
52,Loopring,LRC,None,2.38,1328333700 LRC *,403772175.25,0.21,-9.52,-14.90
53,UNUS SED LEO,LEO,None,3.30,953954130 LEO *,3253772.46,-1.41,-4.24,4.29
