1,Bitcoin,BTC,None,29704.39,19057387 BTC,26175547451.56,-0.07,-2.50,3.76
2,Ethereum,ETH,None,1775.08,121038694 ETH,14878001810.98,-0.33,-3.22,2.91
3,Tether,USDT,None,0.9992,72538449554 USDT *,43789145735.21,0.01,-0.01,0.03
4,USD Coin,USDC,None,1.00,54014854890 USDC *,4266590882.25,0.00,-0.01,-0.03
5,BNB,BNB,None,298.40,163276975 BNB *,1115211126.99,0.24,-3.15,-0.86
6,Cardano,ADA,None,0.5597,33934048406 ADA,910186327.38,-0.57,-4.79,22.86
7,XRP,XRP,None,0.3908,48343101197 XRP *,1284592601.83,0.04,-3.59,2.35
8,Binance USD,BUSD,None,0.9998,18049494749 BUSD *,3966721500.33,-0.12,-0.21,-0.05
9,Solana,SOL,None,38.26,339807274 SOL *,1348656101.57,0.15,-6.44,-6.64
10,Dogecoin,DOGE,None,0.08044,132670764300 DOGE,403339247.75,-0.06,-2.81,-1.10
11,Polkadot,DOT,None,9.38,987579315 DOT *,414732607.03,-0.13,-5.26,2.68
12,Wrapped Bitcoin,WBTC,None,29676.16,273052 WBTC *,270804171.21,-0.17,-2.67,3.79
13,TRON,TRX,None,0.08114,93223219792 TRX *,806751464.36,-0.48,-3.65,0.65
14,Dai,DAI,None,0.9999,6825339782 DAI *,223756034.17,-0.04,-0.02,0.04
15,Avalanche,AVAX,None,23.01,280771002 AVAX *,463049567.14,-0.24,-6.77,2.62
16,Shiba Inu,SHIB,None,0.00001082,549063278876302 SHIB *,255259560.34,-0.02,-3.62,3.74
17,Polygon,MATIC,None,0.5899,7956181045 MATIC *,313900784.52,-0.19,-4.76,2.85
18,UNUS SED LEO,LEO,None,4.87,953954130 LEO *,5885504.27,-0.17,-1.04,-0.20
19,Cronos,CRO,None,0.1784,25263013692 CRO *,23834484.85,-0.31,-3.36,6.06
20,Litecoin,LTC,None,62.66,70428281 LTC,445994254.95,-0.30,-2.78,1.78
21,NEAR Protocol,NEAR,None,5.25,703648478 NEAR *,310245089.32,-0.30,-6.41,9.58
22,Stellar,XLM,None,0.1465,24946035073 XLM *,282916043.57,-0.06,2.31,21.81
23,Uniswap,UNI,None,5.08,718782704 UNI *,115713431.66,-0.53,-4.40,8.54
24,FTX Token,FTT,None,25.99,136045993 FTT *,66267248.67,0.02,-4.22,-1.53
25,Monero,XMR,None,193.98,18129955 XMR,148020353.40,-0.15,-3.68,7.56
26,Bitcoin Cash,BCH,None,183.26,19081006 BCH,2215340157.79,-0.35,-3.04,5.27
27,Chainlink,LINK,None,6.86,467009550 LINK *,324805175.11,0.01,-4.70,9.39
28,Ethereum Classic,ETC,None,21.85,135104569 ETC,285291833.77,-0.51,-2.61,-2.62
29,Cosmos,ATOM,None,9.18,286370297 ATOM *,184349899.64,-0.09,-4.68,-0.74
30,Algorand,ALGO,None,0.3812,6867145072 ALGO *,87997070.86,-0.21,-3.54,6.05
31,Flow,FLOW,None,2.42,1036200000 FLOW *,26469585.21,0.27,-5.13,2.97
32,VeChain,VET,None,0.03025,64315576989 VET *,128134805.45,0.29,-4.08,4.64
33,Internet Computer,ICP,None,7.92,234261295 ICP *,231520637.34,-1.97,-16.86,14.28
34,Hedera,HBAR,None,0.08873,20741406793 HBAR *,22306778.66,-0.53,-3.95,1.84
35,Decentraland,MANA,None,0.9802,1849241741 MANA *,174080666.46,-0.08,-5.46,5.60
36,ApeCoin,APE,None,6.13,292187500 APE *,255582633.06,-0.44,-4.35,0.96
37,Elrond,EGLD,None,77.44,22084975 EGLD *,45014592.63,0.15,-0.75,14.96
38,Tezos,XTZ,None,1.91,896904637 XTZ *,51960738.56,0.09,-4.10,5.17
39,KuCoin Token,KCS,None,17.04,98379861 KCS *,3935963.57,-0.16,-2.55,12.47
40,The Sandbox,SAND,None,1.29,1232664778 SAND *,241106133.09,-0.19,-5.41,0.52
41,Filecoin,FIL,None,7.40,213638522 FIL,163143806.33,-0.14,-4.63,2.79
42,Aave,AAVE,None,107.14,13882270 AAVE *,170841871.29,-0.50,-3.52,16.19
43,Zcash,ZEC,None,89.80,14527194 ZEC,89139041.63,-0.24,-1.56,4.52
44,TrueUSD,TUSD,None,1.00,1275600812 TUSD *,100086894.90,0.01,0.05,0.02
45,EOS,EOS,None,1.26,991178916 EOS *,253534105.96,0.13,-2.35,4.51
46,Axie Infinity,AXS,None,19.97,60907500 AXS *,135812988.00,-0.67,-5.23,9.74
47,Theta Network,THETA,None,1.19,1000000000 THETA *,51886119.31,0.19,-3.91,9.06
48,Klaytn,KLAY,None,0.4039,2843474692 KLAY *,42243486.11,-0.04,-4.54,-0.57
49,Maker,MKR,None,1144.53,977631 MKR *,76034514.95,0.23,-4.99,2.34
50,Huobi Token,HT,None,7.05,154885159 HT *,38271044.35,0.13,-0.35,0.87
51,Waves,WAVES,None,9.78,108437638 WAVES *,1228803569.64,1.28,2.28,122.82
52,Bitcoin SV,BSV,None,55.28,19077170 BSV,173214926.10,-0.35,2.67,15.46
53,The Graph,GRT,None,0.148,6900000000 GRT *,48021804.57,0.41,-3.00,9.36
54,Helium,HNT,None,8.57,118994308 HNT,15183640.24,0.03,-1.56,23.66
55,BitTorrent-New,BTT,None,0.000001064,932028892857000 BTT *,38589524.93,-0.14,-2.06,3.45
56,IOTA,MIOTA,None,0.3464,2779530283 MIOTA *,25029207.14,0.11,-2.64,14.66
57,Pax Dollar,USDP,None,0.9977,945642940 USDP *,15682382.42,-0.09,-0.08,-0.03
58,eCash,XEC,None,0.0000479,19077110923303 XEC *,12171980.80,0.12,-2.90,1.54
59,Fantom,FTM,None,0.3562,2545006273 FTM *,169780151.56,-0.76,-6.27,3.90
60,THORChain,RUNE,None,2.73,330688061 RUNE *,65129686.85,0.42,-5.89,13.12
61,Neutrino USD,USDN,None,0.9884,835465809 USDN *,10395074.90,0.00,-0.15,2.39
62,Neo,NEO,None,11.17,70538831 NEO *,89582007.66,-0.05,-2.32,9.16
63,Quant,QNT,None,65.30,12072738 QNT *,36896019.67,-1.06,-4.67,4.98
64,Chiliz,CHZ,None,0.1218,6000378771 CHZ *,60049944.26,0.55,-2.52,13.97
65,Stacks,STX,None,0.536,1316243315 STX,12663509.91,-0.18,-5.70,4.08
66,PancakeSwap,CAKE,None,4.22,165004491 CAKE *,70876685.50,-0.14,-3.06,-1.61
67,Loopring,LRC,None,0.517,1330082009 LRC *,93451597.88,-0.10,-6.14,8.23
68,OKB,OKB,None,11.40,60000000 OKB *,31486472.79,0.03,-2.42,1.49
69,Nexo,NEXO,None,1.19,560000011 NEXO *,6490910.25,-0.10,-5.05,-0.12
70,USDD,USDD,None,1,667521102 USDD *,57100915.44,-0.06,0.07,-0.16
71,Zilliqa,ZIL,None,0.05003,12869062224 ZIL,118433084.09,0.21,-3.37,6.53
72,Dash,DASH,None,58.23,10757784 DASH,118374817.80,-0.13,-2.85,6.06
73,PAX Gold,PAXG,None,1855.75,333601 PAXG *,17803655.46,-0.01,-0.82,0.09
74,STEPN,GMT,None,1.01,600000000 GMT *,506649796.99,-0.66,-3.99,-2.52
75,Curve DAO Token,CRV,None,1.17,499412403 CRV *,82811454.86,-0.36,-6.52,0.38
76,Kusama,KSM,None,68.34,8470098 KSM *,70291796.30,-0.24,-7.03,2.83
77,Celo,CELO,None,1.28,445012828 CELO *,22864971.59,0.17,-5.52,-1.79
78,Basic Attention Token,BAT,None,0.3793,1498812101 BAT *,47688320.00,0.28,-5.15,5.78
79,Enjin Coin,ENJ,None,0.6123,889989956 ENJ *,72132730.51,-0.34,-5.83,3.79
80,Convex Finance,CVX,None,8.42,62670506 CVX *,12658020.00,0.50,-5.28,-8.63
81,Gala,GALA,None,0.07369,6977205436 GALA *,184529193.01,0.13,-3.55,5.18
82,Kava,KAVA,None,2.47,202641789 KAVA *,37084289.15,0.21,-5.98,7.33
83,Harmony,ONE,None,0.04107,12171749351 ONE *,22127995.32,0.24,-3.77,1.10
84,Decred,DCR,None,34.57,14072291 DCR,1917735.81,0.00,-3.86,0.21
85,Gnosis,GNO,None,187.43,2579588 GNO *,9088659.32,-0.27,-3.34,1.52
86,Amp,AMP,None,0.01141,42227702186 AMP *,10334706.78,0.41,-3.94,-0.51
87,XDC Network,XDC,None,0.03724,12305012699 XDC *,10114572.55,-0.81,-2.92,-1.05
88,Mina,MINA,None,0.8478,529730186 MINA *,23553559.25,0.11,-3.31,4.47
89,Holo,HOT,None,0.00259,173323139335 HOT *,31031373.48,0.41,-5.56,12.81
90,NEM,XEM,None,0.0495,8999999999 XEM *,12376461.60,0.33,-4.21,5.73
91,Fei USD,FEI,None,0.9904,424996178 FEI *,4581299.91,-0.27,-0.30,0.13
92,1inch Network,1INCH,None,0.8735,480003458 1INCH *,82805301.42,0.56,-6.28,-2.47
93,Arweave,AR,None,12.51,33394701 AR *,27332828.15,0.12,-5.97,-3.71
94,GateToken,GT,None,5.35,78344460 GT *,3132771.10,0.20,-1.54,2.55
95,Compound,COMP,None,56.04,7128692 COMP *,72718865.76,-0.32,-4.96,0.49
96,Qtum,QTUM,None,3.83,104190538 QTUM *,63375880.33,0.09,-3.51,3.48
97,Bitcoin Gold,BTG,None,21.76,17513924 BTG,12518244.49,0.12,-2.71,1.85
98,Kadena,KDA,None,1.96,184802448 KDA,17517257.26,0.30,-8.61,-2.25
99,BORA,BORA,None,0.4211,861250000 BORA *,12115690.22,-0.13,-5.27,-2.10
100,Moonbeam,GLMR,None,1.29,275946193 GLMR *,30998350.16,-0.21,-4.41,9.78
101,ICON,ICX,None,0.3859,919483096 ICX *,13506344.02,0.79,-3.55,10.21
102,Kyber Network Crystal v2,KNC,None,1.91,177809350 KNC *,38927248.65,0.28,-5.71,6.40
103,OMG Network,OMG,None,2.42,140245398 OMG *,70258353.72,0.07,-5.13,3.08
104,0x,ZRX,None,0.394,847496055 ZRX *,25383814.30,0.33,-4.62,7.17
