1,Bitcoin,BTC,None,48383.87,18900843 BTC,34928806460.56,2.09,3.52,-4.57
2,Ethereum,ETH,None,3859.71,118739782 ETH,21416651119.75,1.19,1.99,-10.55
3,Binance Coin,BNB,None,528.50,166801148 BNB *,2226051805.89,2.29,1.44,-8.83
4,Tether,USDT,None,1.00,76433204084 USDT *,323173953445.07,-0.01,0.03,-0.05
5,Solana,SOL,None,161.29,307781489 SOL *,2382690469.94,3.55,3.92,-15.37
6,Cardano,ADA,None,1.27,33428955821 ADA,1686837947.30,1.05,3.35,-8.36
7,USD Coin,USDC,None,1,41711035585 USDC *,4516547373.92,-0.03,0.02,-0.01
8,XRP,XRP,None,0.8117,47247295769 XRP *,3428299827.43,0.62,3.68,-0.84
9,Polkadot,DOT,None,26.17,987579315 DOT *,1206987078.62,1.86,0.76,-14.33
10,Dogecoin,DOGE,None,0.191,132521607966 DOGE,7135098938.32,3.79,21.21,8.02
11,Terra,LUNA,None,60.29,376779911 LUNA *,2487296434.14,3.30,14.31,-12.60
12,Avalanche,AVAX,None,87.31,243092926 AVAX *,1039726774.03,8.15,10.31,-2.94
13,SHIBA INU,SHIB,None,0.000034,549057767444319 SHIB *,1476971270.45,1.04,3.24,-6.34
14,Polygon,MATIC,None,1.94,7081682963 MATIC *,2237090935.56,5.72,6.59,-18.01
15,Binance USD,BUSD,None,0.9994,13800014686 BUSD *,5156925852.56,-0.09,-0.02,-0.07
16,Crypto.com Coin,CRO,None,0.5445,25263013692 CRO *,245306552.74,2.84,2.19,-11.54
17,Wrapped Bitcoin,WBTC,None,47843.38,258789 WBTC *,305706473.80,1.29,2.94,-4.99
18,Litecoin,LTC,None,150.55,69189007 LTC,1158383005.97,1.36,4.16,-7.24
19,Uniswap,UNI,None,14.98,627936759 UNI *,190824633.93,1.57,5.88,-13.04
20,Dai,DAI,None,1.00,9104859153 DAI *,643828125.81,0.08,0.33,0.42
21,TRON,TRX,None,0.08712,101879643333 TRX *,1441907949.21,0.48,2.48,-3.42
22,TerraUSD,UST,None,1.00,8761620084 UST *,139220990.37,0.09,0.08,-0.18
23,Algorand,ALGO,None,1.38,6328316358 ALGO *,255031666.87,1.61,4.47,-18.33
24,Chainlink,LINK,None,18.46,467009554 LINK *,824768924.50,2.88,3.82,-12.50
25,Bitcoin Cash,BCH,None,437.07,18927350 BCH,4886989425.45,1.79,3.65,-8.02
26,Stellar,XLM,None,0.2678,24629678103 XLM *,608217022.65,-0.51,5.78,-6.76
27,Axie Infinity,AXS,None,96.02,60907500 AXS *,334071930.09,1.17,3.33,-9.34
28,Decentraland,MANA,None,3.17,1824595435 MANA *,662392270.99,2.01,-0.06,-17.27
29,NEAR Protocol,NEAR,None,9.32,580203488 NEAR *,316011260.75,1.22,2.59,21.77
30,FTX Token,FTT,None,38.94,139295691 FTT *,97750236.05,2.29,3.19,-9.36
31,VeChain,VET,None,0.07984,64315576989 VET *,340718366.30,2.20,3.51,-13.10
32,Elrond,EGLD,None,254.48,19874354 EGLD *,151728414.86,2.73,8.64,-11.23
33,Bitcoin BEP2,BTCB,None,48370.68,105114 BTCB *,71042974.01,2.60,3.64,-5.44
34,Filecoin,FIL,None,36.72,136956655 FIL,375134078.40,-0.29,2.31,-6.35
35,Cosmos,ATOM,None,21.78,226226028 ATOM *,340184419.66,1.28,0.07,-10.67
36,Internet Computer,ICP,None,25.42,190293177 ICP *,175538960.34,1.38,1.40,-13.97
37,Ethereum Classic,ETC,None,35.45,131632592 ETC,478543731.02,1.06,3.53,-10.78
38,The Sandbox,SAND,None,4.78,913364619 SAND *,1081580645.64,2.29,-0.37,-10.32
39,Hedera,HBAR,None,0.2331,18092792421 HBAR *,59271780.76,0.79,3.35,-14.82
40,THETA,THETA,None,4.03,1000000000 THETA *,173044508.32,2.55,3.24,-14.26
41,Tezos,XTZ,None,4.50,870447494 XTZ *,492568573.43,2.55,11.01,-20.59
42,Gala,GALA,None,0.5018,6977205436 GALA *,832342171.38,2.77,-0.84,4.88
43,Monero,XMR,None,187.01,18046073 XMR,140645638.29,1.68,1.65,-9.86
44,Fantom,FTM,None,1.31,2545006273 FTM *,294754105.17,2.36,2.60,-17.87
45,UNUS SED LEO,LEO,None,3.47,953954130 LEO *,2968643.89,0.70,-4.27,-4.37
46,EOS,EOS,None,3.36,973822621 EOS *,1677681981.57,0.29,8.50,3.82
47,Klaytn,KLAY,None,1.27,2553361976 KLAY *,42921998.74,1.48,3.01,-7.43
48,PancakeSwap,CAKE,None,12.52,248804350 CAKE *,329462923.87,1.29,14.51,3.35
49,The Graph,GRT,None,0.6374,4715735200 GRT *,99610508.79,2.65,6.50,-7.63
50,IOTA,MIOTA,None,1.06,2779530283 MIOTA *,37584532.39,0.29,3.29,-9.70
51,Loopring,LRC,None,2.18,1328333700 LRC *,332464518.94,0.59,3.66,-11.97
52,Helium,HNT,None,27.80,104153664 HNT,28501304.12,2.14,6.77,-14.87
53,BitTorrent,BTT,None,0.002839,990000000000 BTT *,392160418.27,1.49,-0.45,-23.93
54,Flow,FLOW,None,8.69,316835587 FLOW *,108017678.62,1.77,0.71,-13.88
55,Stacks,STX,None,1.97,1288381710 STX *,91186564.22,4.35,5.86,-14.67
56,Bitcoin SV,BSV,None,125.80,18923845 BSV,580789801.01,1.81,0.29,-22.97
57,Kusama,KSM,None,279.35,8470098 KSM *,66254774.65,0.24,2.22,-5.81
58,Maker,MKR,None,2301.97,988620 MKR *,94147091.62,1.07,3.05,-12.08
59,Aave,AAVE,None,169.31,13433293 AAVE *,19582837299460.31,1.51,4.25,-9.75
60,eCash,XEC,None,0.0001133,18923648423313 XEC *,114655178.11,-0.81,7.06,-10.96
61,Amp,AMP,None,0.0498,42227702186 AMP *,21318919.51,3.04,1.40,-2.12
62,Quant,QNT,None,172.51,12072738 QNT *,49771098.15,1.40,-3.59,4.45
63,Zcash,ZEC,None,151.76,13300550 ZEC,404927712.33,2.56,2.48,-13.51
64,Enjin Coin,ENJ,None,2.35,842268984 ENJ *,209516767.03,2.27,1.12,-16.38
65,Harmony,ONE,None,0.1724,11466448055 ONE *,62345716.42,2.32,2.76,-13.32
66,Neo,NEO,None,26.36,70538831 NEO *,171785460.88,1.14,4.15,-11.44
67,OKB,OKB,None,29.38,60000000 OKB *,898051701.76,-0.14,5.04,4.93
68,KuCoin Token,KCS,None,20.93,80118638 KCS *,23467528.54,3.65,8.88,-4.86
69,Chiliz,CHZ,None,0.2792,5954921248 CHZ *,218897337.26,1.56,3.05,-12.44
70,THORChain,RUNE,None,6.25,258210215 RUNE *,41477327.79,2.36,-0.18,-14.29
71,Waves,WAVES,None,15.03,106954816 WAVES *,175547067.67,0.92,4.27,-21.94
72,Basic Attention Token,BAT,None,1.07,1492976103 BAT *,258668596.33,2.85,3.68,-20.03
73,Kadena,KDA,None,9.87,161468011 KDA,32040403.00,5.91,2.35,-8.41
74,Huobi Token,HT,None,9.79,159308566 HT *,161734184.58,-2.11,7.77,12.54
75,Curve DAO Token,CRV,None,3.41,434851014 CRV *,191358075.67,2.26,2.38,-18.14
76,Holo,HOT,None,0.008,173037114406 HOT *,136843710.13,1.33,3.11,-17.35
77,Dash,DASH,None,131.67,10478612 DASH,277563391.98,0.95,4.10,-4.99
78,TrueUSD,TUSD,None,1.00,1317427474 TUSD *,124045495.63,-0.07,0.04,0.03
79,Nexo,NEXO,None,2.29,560000011 NEXO *,11406470.49,2.36,0.87,-2.82
80,Arweave,AR,None,38.22,33394701 AR *,36501158.94,1.77,5.10,-21.92
81,Celo,CELO,None,3.44,367204495 CELO *,38013662.64,2.62,-0.60,-6.02
82,Compound,COMP,None,186.28,6207618 COMP *,110571472.66,2.66,2.93,-16.92
83,NEM,XEM,None,0.1282,8999999999 XEM *,161810794.51,1.28,4.73,-7.62
84,IoTeX,IOTX,None,0.1123,9540779324 IOTX *,94465609.16,1.89,6.33,-1.07
85,Theta Fuel,TFUEL,None,0.2007,5301214400 TFUEL *,64255705.23,1.90,1.19,-19.28
86,1inch Network,1INCH,None,2.55,409022655 1INCH *,159770114.19,2.07,5.82,-5.25
87,Mina,MINA,None,3.22,320728369 MINA *,32383691.63,1.47,0.21,-17.63
