1,Bitcoin,BTC,None,46063.27,18814050 BTC,27881980160.72,0.77,1.91,-10.99
2,Ethereum,ETH,None,3410.13,117498737 ETH,16810411423.56,0.93,4.28,-13.71
3,Cardano,ADA,None,2.58,32025787327 ADA,8111330870.41,-0.30,-1.98,-11.31
4,Binance Coin,BNB,None,416.68,168137036 BNB *,1671909230.28,0.25,2.75,-17.43
5,Tether,USDT,None,0.9997,68340615736 USDT *,73080229537.84,-0.06,-0.13,-0.06
6,XRP,XRP,None,1.12,46585282244 XRP *,3403286575.57,0.44,3.68,-14.24
7,Solana,SOL,None,174.54,293374523 SOL *,3012633093.73,-0.47,-2.42,22.85
8,Polkadot,DOT,None,35.77,987579315 DOT *,4160379168.98,-0.09,13.23,3.97
9,Dogecoin,DOGE,None,0.2506,131255374699 DOGE,1419288865.56,-0.98,3.80,-20.32
10,USD Coin,USDC,None,0.9995,29233079596 USDC *,2394483276.56,-0.08,-0.15,-0.01
11,Terra,LUNA,None,39.23,402907684 LUNA *,1665426441.53,0.45,0.35,13.75
12,Uniswap,UNI,None,23.69,611643724 UNI *,450727924.96,0.93,4.13,-19.33
13,Chainlink,LINK,None,29.38,452009554 LINK *,1462168958.66,0.93,8.65,-12.31
14,Avalanche,AVAX,None,59.26,220286577 AVAX *,2713467627.11,1.80,3.67,23.00
15,Algorand,ALGO,None,2.38,5232801411 ALGO *,2164056921.77,-0.60,19.94,80.72
16,Binance USD,BUSD,None,0.9996,12468092358 BUSD *,5308860794.14,-0.08,-0.14,-0.02
17,Litecoin,LTC,None,183.23,66752615 LTC,2524354410.81,0.35,2.54,-20.79
18,Bitcoin Cash,BCH,None,647.33,18844338 BCH,5486288261.44,-0.69,1.80,-15.29
19,Internet Computer,ICP,None,59.54,162642082 ICP *,409424692.60,0.31,2.52,-24.89
20,Wrapped Bitcoin,WBTC,None,46113.17,203771 WBTC *,280624013.84,0.87,2.06,-10.79
21,FTX Token,FTT,None,73.53,120869925 FTT *,984520794.63,-0.29,1.35,15.71
22,Polygon,MATIC,None,1.33,6652300637 MATIC *,808860700.12,0.39,1.08,-20.82
23,Filecoin,FIL,None,83.78,103966353 FIL,1069499638.47,1.09,2.49,-26.25
24,TRON,TRX,None,0.1127,71659657369 TRX *,4555490083.21,-0.18,18.10,7.15
25,Cosmos,ATOM,None,35.00,221273274 ATOM *,2438022040.02,2.87,28.27,35.89
26,Stellar,XLM,None,0.3332,23689964203 XLM *,555343786.20,-0.03,2.42,-16.16
27,VeChain,VET,None,0.1201,64315576989 VET *,532232477.32,1.42,3.91,-22.01
28,Ethereum Classic,ETC,None,58.18,129485756 ETC,820616061.38,-0.02,1.83,-20.95
29,THETA,THETA,None,6.60,1000000000 THETA *,323787352.38,0.86,2.14,-19.79
30,Dai,DAI,None,1.00,6562665358 DAI *,328308075.34,-0.02,-0.02,-0.02
31,Tezos,XTZ,None,7.03,859191005 XTZ *,1266177313.29,-0.49,14.67,26.49
32,Elrond,EGLD,None,265.94,19434955 EGLD *,739750914.43,-2.69,15.99,50.99
33,EOS,EOS,None,4.89,957914982 EOS *,1341480697.05,0.76,4.44,-22.32
34,Crypto.com Coin,CRO,None,0.183,25263013692 CRO *,71096510.71,0.05,2.24,-1.07
35,Monero,XMR,None,256.32,17991698 XMR,177933858.96,1.00,2.63,-18.68
36,PancakeSwap,CAKE,None,20.45,223738134 CAKE *,292280896.01,-0.19,4.09,-16.49
37,The Graph,GRT,None,0.9227,4715735200 GRT *,195100466.63,-0.21,5.45,-9.93
38,Aave,AAVE,None,333.20,13174466 AAVE *,280443075.58,0.51,1.36,-20.08
39,Quant,QNT,None,357.42,12072738 QNT *,123755056.11,-1.93,-7.14,12.47
40,Axie Infinity,AXS,None,70.04,60907500 AXS *,310685790.13,-0.23,1.54,-14.90
41,IOTA,MIOTA,None,1.51,2779530283 MIOTA *,92975801.08,0.49,0.77,-16.37
42,eCash,XEC,None,0.000216,18841342173313 XEC *,118936673.14,1.99,-1.94,-29.36
43,Hedera Hashgraph,HBAR,None,0.4206,9633179277 HBAR *,769431973.45,6.90,15.41,36.86
44,NEAR Protocol,NEAR,None,8.96,453304326 NEAR *,442756335.76,0.18,-1.20,45.84
45,Bitcoin BEP2,BTCB,None,46189.00,83118 BTCB *,30934195.71,1.21,2.41,-10.74
46,Kusama,KSM,None,435.15,8470098 KSM *,531497632.77,0.80,3.96,8.16
47,Fantom,FTM,None,1.44,2545006273 FTM *,459947595.28,-0.17,-6.61,19.03
48,Neo,NEO,None,51.59,70538831 NEO *,381264798.09,2.19,5.18,-21.50
49,Klaytn,KLAY,None,1.38,2503894895 KLAY *,107469559.08,0.59,2.70,-15.33
50,Waves,WAVES,None,32.13,106151992 WAVES *,205420255.02,0.44,5.15,8.95
51,Bitcoin SV,BSV,None,156.75,18840789 BSV,260292636.13,0.45,0.82,-20.11
52,UNUS SED LEO,LEO,None,3.04,953954130 LEO *,2526227.47,-0.63,-1.42,2.70
53,Maker,MKR,None,2876.46,991328 MKR *,112180035.09,0.37,1.16,-22.70
54,BitTorrent,BTT,None,0.004163,659952625000 BTT *,723017795.50,0.07,6.48,-15.48
55,SHIBA INU,SHIB,None,0.000006897,394796000000000 SHIB *,243064232.08,0.21,1.76,-8.78
56,TerraUSD,UST,None,1.00,2549213552 UST *,105792049.93,0.01,-0.06,0.40
57,Huobi Token,HT,None,14.66,166099511 HT *,154647299.30,0.35,3.55,-10.04
58,Harmony,ONE,None,0.2168,10551103118 ONE *,386518688.82,1.58,20.87,63.49
